"Timestamp","Nama","Departemen","Tulis 5 kata yang terkait dengan AGILE! Cukup pisahkan dengan spasi","Tulis 5 kata yang terkait dengan PURPOSEFUL! Cukup pisahkan dengan spasi","Tulis 5 kata yang terkait dengan INCLUSIVE! Cukup pisahkan dengan spasi","Tulis 5 kata yang terkait dengan DIGITAL TRANSFORMATION! Cukup pisahkan dengan spasi"
"2020/11/25 11:56:52 AM GMT+7","David","DKB","culture, engagement, discrimination, data, knowledge","culture, engagement, discrimination, data, knowledge","culture, engagement, discrimination, data, knowledge","culture, engagement, discrimination, data, knowledge"
"2020/11/25 11:57:02 AM GMT+7","Vito dwiki","CPD","Dinamis, berubah, cepat, flexible, gesit","Bermakna, kontribusi, berbagi, efektif, tepat sasaran","Inovasi, agile, team work, merangkul, intensif","Perubahan, smarter, efisien, simplicity, futuristic "
"2020/11/25 11:57:44 AM GMT+7","Fide","DDG","Adapt partner personal talent teamwork","Value potential positive mission discipline","Exist diversity color culture conversation","Technology time think productive management"
"2020/11/25 11:57:52 AM GMT+7","Dimas","FLC","ability active effort innovation rapid","mission workplace future discipline development","social solute provide engagement teamwork","technology management human growth data"
"2020/11/25 11:57:52 AM GMT+7","Niken","RZZ","active capabilities rapid expertise management","mission productive support value vision","women diverse workforce gender teamwork","skill expertise design develop infrastructure"
"2020/11/25 11:58:03 AM GMT+7","Ito","DDE","Initiative organization performance shift decisions","People value family journey career","Discrimination impact support diversity leadership","Technology data function improve performance"
"2020/11/25 11:58:06 AM GMT+7","Igit","XMA","Action job collaboration approach goal","Goal vision positive organization skill","Ecosystem people identity human mission","Data organization strategy business collaboration"
"2020/11/25 11:58:09 AM GMT+7","Okky","MSA","Adapt rapid fast environment","Mission idea identity insight impact","Human discrimination diverse diversity afeel","Data channel capabilites culture knowledge"
"2020/11/25 11:58:09 AM GMT+7","Teddy Andreas","QBN","changing innovation growth positive shift","development focused idea potential pandemic","teamwork understanding value partner corporate","opportunity technology pandemic focus discipline"
"2020/11/25 11:58:17 AM GMT+7","HYP","YOD","change people organization companies leaders","organization adapt human meaning mission","diverse diversity social women culture","data process change company online"
"2020/11/25 11:58:22 AM GMT+7","Novita","MEA","Adaptive knowledge growth company","Action help impact culture initiative","Social gender impact include color","Data business improve process technology"
"2020/11/25 11:58:23 AM GMT+7","Good","QBL","Adapt changing improve future fast","People meaning deep teamwork leader","Diversity environment positive understanding opportunity","Develop system technology platforn driven"
"2020/11/25 11:58:28 AM GMT+7","Sigit","GEA","Adaptability Nimble Speed Flexible","Bermakna","No one left behind","People process technology system efficient"
"2020/11/25 11:58:31 AM GMT+7","Audy","Cpy","Behavior impact growth develop collaboration ","Goal knowledge understand global plan","Diverse value potential speak real","Improve development scale strategy technology "
"2020/11/25 11:58:35 AM GMT+7","vega","MEA","initiative collaboration adapt active opportunity","customer value innovation community engage","understanding teamwork diverse leader people","tool technology data platform domain"
"2020/11/25 11:58:36 AM GMT+7","Erica Wirianata","VFF","Active adapt fast collaboration capabilities","Goal performance focus people goal","Adapt people behavior collaboration organizational","Program improve technology development performance"
"2020/11/25 11:58:37 AM GMT+7","Claire","RPD","adapt changing challenge innovation foc","improve engagement leadership productive impact","diversity  people knowledge leadership inniative","inniative innovation invest improve opportunity"
"2020/11/25 11:58:37 AM GMT+7","Rindy","ALA","Ability Productive Fail  Goal Fast","Human Impact Commitment Collaboration Culture","Culture Commitment Human Culture Iniative","Goal Culture Enable Customer Data"
"2020/11/25 11:58:39 AM GMT+7","Jodi","DAD","rapid improve opportunity plan risk","goal create meaning value commitment","people social color share understanding","technology tool data source system"
"2020/11/25 11:58:41 AM GMT+7","ANNISA","FQC","adapt, pandemic, learn, crisis, challenge","effort, health, development, collaboration, people","leader, collaboration, understand, people, help","workplace, social, skill, teamwork, innovation"
"2020/11/25 11:58:44 AM GMT+7","Anta","DDA","Issue mission opportunity potential improve","Impact improve goal challenge human","Human impact people crisis issue","Challenge adapt global online innovation"
"2020/11/25 11:58:44 AM GMT+7","Susana","Qzz","Leadership","Community","Diverse","Infrastructure"
"2020/11/25 11:58:45 AM GMT+7","elly","TAA","adapt challenge skill improve innovation","achieve goal strategy mission idea","social sense diversity future engage","technology knowdledge enterprise development collaboration"
"2020/11/25 11:58:46 AM GMT+7","Surya","DDH","Core strategy social shift innovation","Performance enviroment leadership potential skill","Social  real project vision deliver","Ecosystem eduation people training invest"
"2020/11/25 11:58:47 AM GMT+7","ayu","dde","skill project idea behavior talent","manage process performance personal plan","reduce development education goal improve","model online issue skill leadership"
"2020/11/25 11:58:48 AM GMT+7","Adli","DAC","Adapt change changing performance rapid","Goal strategy develop vision mission","Diverse partner social engagement support","Data customer market people technology"
"2020/11/25 11:58:48 AM GMT+7","Rayhan","DAC","active adapt changing initiative innovation","building experience skill model invest","children help human understanding value","focus impact development rapid learn"
"2020/11/25 11:58:51 AM GMT+7","Lory","MMA","Adapt Bias Improve Potential Change","Active Action Achieve Impact Growth","Diverse Bias Culture Family Initiative","Online System Data Culture Design"
"2020/11/25 11:58:52 AM GMT+7","Rymo","Cpe","Behavior environment collaboration platform policy","Performance organization productive person strategy","Social talent human ecosystem channel","Level life impact opportunity issue"
"2020/11/25 11:58:54 AM GMT+7","Nancy","Azz","Adapt customer market innovation rapid","Goal performance organization engage community","Identity bias talent discrimination policy","Technology productive ecosystem platform data"
"2020/11/25 11:58:54 AM GMT+7","Dhimas","DDJ","Adapt change ecosystem impact learn","Meaning partner talent team understand","Diversity social support teamwork person","Data platform technology strategy process"
"2020/11/25 11:58:55 AM GMT+7","Yove","CPD","Pandemic, shift, improve, changing, behavior","Team, performance, impact, improve, growth","Diversity, diverse, team, social, understanding","Technology, tool, time, capabilities, shift"
"2020/11/25 11:58:57 AM GMT+7","Chrisma","CPC","Fast, Shift, Business, Change, Growth","Customer, Create, Real, Vision, Education","Share, Company, Teamwork, People, Approach","System, Data, Development, Workplace, View"
"2020/11/25 11:58:57 AM GMT+7","Muthia","CPE","Adapt Study Support Succeed Potensial","Effort Apply Capabilities Ecosystem Journey","Development Leadership Partner Talent Organization","System Business Study Rate Real Support"
